arrival_key,date_key,transport_key,geography_key,origin_geography_key,destination_geography_key,market_origin_key,flight_number,vessel_name,passenger_count,arrival_datetime,arrival_date,arrival_time,arrival_hour,arrival_day_part,departure_datetime,departure_date,departure_time,departure_hour,departure_day_part,days_stay,flow_type,passenger_type,is_repeat_visit,origin_airport_code,origin_city,origin_country_code,destination_airport_code,destination_city,destination_country_code,is_direct_flight,number_of_connections,total_journey_hours,is_peak_season,is_weekend,is_holiday,data_quality_flag,granularity_level,source_confidence,dq_score,data_completeness_pct,imputation_method,observation_count,suppressed,computation_method,source_system,source_file,load_timestamp,created_timestamp
597188,20250925,,,,,138,,,3,,2025-09-18,,,,,2025-09-25,,,,7,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.55333,
597189,20250925,,,,,61,,,3,,2025-09-23,,,,,2025-09-25,,,,2,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.575572,
597190,20250925,,,,232826,210,,,7,,2025-09-21,,,,,2025-09-25,,,,4,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.576766,
597191,20250925,,,,232826,179,,,23,,2025-09-19,,,,,2025-09-25,,,,6,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.57777,
597192,20250925,,,,232828,235,,,7,,2025-09-22,,,,,2025-09-25,,,,3,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.578708,
597193,20250925,,,,232828,66,,,2,,2025-09-21,,,,,2025-09-25,,,,4,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.579623,
597194,20250925,,,,232828,210,,,7,,2025-09-17,,,,,2025-09-25,,,,8,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.593014,
597195,20250925,,,,,70,,,6,,2025-09-18,,,,,2025-09-25,,,,7,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.594299,
597196,20250925,,,,,183,,,4,,2025-09-23,,,,,2025-09-25,,,,2,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.607031,
597197,20250925,,,,,101,,,3,,2025-09-22,,,,,2025-09-25,,,,3,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.618103,
597198,20250925,,,,,77,,,6,,2025-09-21,,,,,2025-09-25,,,,4,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.619176,
597199,20250925,,,,,215,,,3,,2025-09-21,,,,,2025-09-25,,,,4,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.620124,
597200,20250925,,,,,210,,,13,,2025-09-19,,,,,2025-09-25,,,,6,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.630853,
597201,20250925,,,,,110,,,3,,2025-09-19,,,,,2025-09-25,,,,6,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.6319,
