time,weather_temperature_2m,weather_precipitation_mm,weather_wind_speed_10m,weather_relative_humidity_2m,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,movement_date
2025-09-15 01:00:00,19.0,0.0,0.6,97,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-15
2025-09-15 02:00:00,18.6,0.0,0.6,98,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-15
2025-09-15 03:00:00,18.0,0.0,1.1,99,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-15
2025-09-15 04:00:00,17.8,0.0,1.5,99,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-15
2025-09-15 05:00:00,17.2,0.0,1.5,99,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-15
2025-09-15 06:00:00,17.0,0.0,1.7,99,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-15
2025-09-15 07:00:00,16.8,0.0,1.5,98,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-15
2025-09-15 08:00:00,16.8,0.0,2.8,97,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-15
2025-09-15 09:00:00,18.9,0.0,2.7,94,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-15
2025-09-15 10:00:00,21.8,0.0,5.4,75,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-15
2025-09-15 11:00:00,23.0,0.0,7.1,70,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-15
2025-09-15 12:00:00,23.9,0.0,8.0,67,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-15
2025-09-15 13:00:00,24.5,0.1,9.6,65,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-15
2025-09-15 14:00:00,24.2,0.4,7.8,67,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-15
2025-09-15 15:00:00,24.4,0.2,7.9,66,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-15
2025-09-15 16:00:00,23.8,0.2,9.4,70,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-15
2025-09-15 17:00:00,23.4,0.1,9.0,72,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-15
2025-09-15 18:00:00,23.1,0.2,7.3,74,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-15
2025-09-15 19:00:00,22.4,0.1,5.4,78,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-15
2025-09-15 20:00:00,21.3,0.0,4.7,84,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-15
2025-09-15 21:00:00,20.5,0.0,3.8,89,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-15
2025-09-15 22:00:00,20.0,0.0,4.2,92,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-15
2025-09-15 23:00:00,19.6,0.0,4.7,92,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-15
2025-09-16 00:00:00,19.5,0.0,5.2,92,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-16
2025-09-16 01:00:00,19.5,0.0,5.1,92,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-16
2025-09-16 02:00:00,19.2,0.0,5.3,92,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-16
2025-09-16 03:00:00,19.0,0.0,5.4,92,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-16
2025-09-16 04:00:00,18.6,0.0,5.2,92,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-16
