time_bucket,movement_date,granularity_level,geography_key,total_incoming,record_count
2025-09-27T13:00:00,2025-09-27,HOURLY,3640,1733.7429099999927,8090
2025-10-08T04:00:00,2025-10-08,HOURLY,3636,5836.292379999978,8978
2025-10-08T08:00:00,2025-10-08,HOURLY,3720,899.9185199999966,2598
2025-10-06T16:00:00,2025-10-06,HOURLY,3631,763.2543499999992,3173
2025-06-29T10:00:00,2025-06-29,,232823,372.0,31
2025-10-08T04:00:00,2025-10-08,HOURLY,3757,138.76611999999997,2114
2025-10-01T07:00:00,2025-10-01,HOURLY,3647,2541.7769299999973,1895
2025-04-07T09:00:00,2025-04-07,,232823,2052.0,27
2025-09-30T09:00:00,2025-09-30,DAILY,3633,770.3749099999993,5145
2025-09-26T22:00:00,2025-09-26,HOURLY,3674,477.0672899999999,1859
2025-09-25T08:00:00,2025-09-25,HOURLY,3666,1321.6288199999974,2785
2025-09-26T12:00:00,2025-09-26,DAILY,3743,3622.9467800000148,3597
2025-10-03T17:00:00,2025-10-03,HOURLY,3690,822.0584700000007,3797
2025-10-03T03:00:00,2025-10-03,HOURLY,3636,137.22524,677
2025-10-01T03:00:00,2025-10-01,HOURLY,3640,1047.527589999998,1943
2025-10-03T12:00:00,2025-10-03,HOURLY,3647,2985.2745499999937,2370
2025-10-09T23:00:00,2025-10-09,HOURLY,3682,1061.5958400000018,3224
2025-09-27T21:00:00,2025-09-27,HOURLY,3629,236.7142900000002,1409
2025-10-04T16:00:00,2025-10-04,HOURLY,3647,2577.405559999992,2290
2025-09-30T23:00:00,2025-09-30,HOURLY,3727,1530.3803399999958,1217
2025-09-27T02:00:00,2025-09-27,HOURLY,3666,1222.3501,1864
2025-10-02T20:00:00,2025-10-02,DAILY,3702,89.68996,332
2025-09-24T15:00:00,2025-09-24,HOURLY,3642,1176.8416599999978,2888
2025-10-05,2025-10-05,DAILY,9246,1321.2043099999994,80
2025-10-05T09:00:00,2025-10-05,HOURLY,3713,1371.4258799999998,829
2025-09-25T20:00:00,2025-09-25,DAILY,3678,1974.3196799999962,4135
2025-10-02T16:00:00,2025-10-02,DAILY,3714,178.33074999999982,584
2025-09-28T05:00:00,2025-09-28,HOURLY,3622,457.1860399999996,2171
2025-08-03T09:00:00,2025-08-03,,232809,2368.0,64
2025-10-08T03:00:00,2025-10-08,HOURLY,3622,838.346979999996,3126
2025-09-30T07:00:00,2025-09-30,HOURLY,3660,242.17649000000023,829
2025-09-24T01:00:00,2025-09-24,HOURLY,3628,213.63840000000022,1605
2025-09-24,2025-09-24,HOURLY,3636,3144.38987000001,5107
2025-10-02T20:00:00,2025-10-02,HOURLY,3728,154.2123200000001,208
2025-09-25T04:00:00,2025-09-25,HOURLY,3666,1207.444989999999,1759
2025-10-03T17:00:00,2025-10-03,HOURLY,3681,1228.4020000000003,4239
2025-09-29T09:00:00,2025-09-29,HOURLY,3617,823.5968799999973,2065
2025-09-26T12:00:00,2025-09-26,DAILY,3740,270.8825800000003,1303
2025-07-16T10:00:00,2025-07-16,,232830,2418.0,31
2025-10-05T15:00:00,2025-10-05,HOURLY,3654,1457.619660000001,2957
2025-10-09T22:00:00,2025-10-09,HOURLY,3689,3238.194300000023,1964
2025-10-03T10:00:00,2025-10-03,HOURLY,3619,71.6941,1797
2025-10-02T20:00:00,2025-10-02,DAILY,3638,172.95533000000003,705
2025-09-30T17:00:00,2025-09-30,HOURLY,3662,1985.745689999977,7631
2025-09-24T14:00:00,2025-09-24,HOURLY,3629,192.75431000000015,1129
2025-09-27T10:00:00,2025-09-27,HOURLY,3629,191.76469999999964,1026
2025-10-04T21:00:00,2025-10-04,HOURLY,3632,8454.85495999999,4783
2025-09-30T19:00:00,2025-09-30,HOURLY,3681,1033.2429299999994,2581
2025-10-03T11:00:00,2025-10-03,HOURLY,3648,598.3009899999957,7790
2025-09-24T23:00:00,2025-09-24,HOURLY,3645,415.7295999999983,2233
2025-10-06T14:00:00,2025-10-06,HOURLY,3740,424.6565000000004,1938
2025-10-08T20:00:00,2025-10-08,DAILY,3673,1143.5108599999985,2792
2025-09-29T11:00:00,2025-09-29,HOURLY,3669,475.03171999999944,3358
2025-09-29T12:00:00,2025-09-29,HOURLY,3623,621.9596200000001,2844
2025-10-06T06:00:00,2025-10-06,HOURLY,3619,148.55394,2502
2025-10-04T20:00:00,2025-10-04,HOURLY,3703,1214.19068,1255
2025-10-01T13:00:00,2025-10-01,HOURLY,3645,316.1209399999995,7482
2025-10-01T07:00:00,2025-10-01,HOURLY,3722,449.87245000000036,1169
2025-09-25T19:00:00,2025-09-25,,232830,1736.0,31
2025-10-01T12:00:00,2025-10-01,HOURLY,3625,1277.6354100000005,3919
2025-09-30T13:00:00,2025-09-30,HOURLY,3687,1729.2331800000002,4761
2025-10-07T09:00:00,2025-10-07,DAILY,3723,1501.96551,1544
2025-10-03T02:00:00,2025-10-03,HOURLY,3744,46.55033,59
2025-09-27T18:00:00,2025-09-27,HOURLY,3629,216.3645500000002,1268
2025-10-03,2025-10-03,DAILY,3690,2776.6932100000395,9315
2025-09-14T10:00:00,2025-09-14,,232830,899.0,31
2025-10-04T15:00:00,2025-10-04,HOURLY,3631,477.6791599999993,1553
2025-10-06T16:00:00,2025-10-06,HOURLY,3646,1020.4150099999927,7806
